policy,seed,return,success,steps
random,100,0.09999999999999998,1,50
random,101,0.45999999999999996,1,30
random,102,0.0,0,50
random,103,0.0,0,50
random,104,0.0,0,50
random,105,0.15400000000000003,1,47
random,106,0.3879999999999999,1,34
random,107,0.946,1,3
random,108,0.0,0,50
random,109,0.0,0,50
random,110,0.712,1,16
random,111,0.0,0,50
random,112,0.0,0,50
random,113,0.0,0,50
random,114,0.0,0,50
random,115,0.55,1,25
random,116,0.0,0,50
random,117,0.0,0,50
random,118,0.0,0,50
random,119,0.892,1,6
random,120,0.0,0,50
random,121,0.0,0,50
random,122,0.0,0,50
random,123,0.0,0,50
random,124,0.0,0,50
random,125,0.0,0,50
random,126,0.22599999999999998,1,43
random,127,0.0,0,50
random,128,0.0,0,50
random,129,0.0,0,50
wm_no_vlm,100,0.4059999999999999,1,33
wm_no_vlm,101,0.0,0,50
wm_no_vlm,102,0.91,1,5
wm_no_vlm,103,0.18999999999999995,1,45
wm_no_vlm,104,0.91,1,5
wm_no_vlm,105,0.0,0,50
wm_no_vlm,106,0.946,1,3
wm_no_vlm,107,0.982,1,1
wm_no_vlm,108,0.712,1,16
wm_no_vlm,109,0.9279999999999999,1,4
wm_no_vlm,110,0.0,0,50
wm_no_vlm,111,0.622,1,21
wm_no_vlm,112,0.0,0,50
wm_no_vlm,113,0.6759999999999999,1,18
wm_no_vlm,114,0.55,1,25
wm_no_vlm,115,0.982,1,1
wm_no_vlm,116,0.0,0,50
wm_no_vlm,117,0.29799999999999993,1,39
wm_no_vlm,118,0.586,1,23
wm_no_vlm,119,0.604,1,22
wm_no_vlm,120,0.5680000000000001,1,24
wm_no_vlm,121,0.892,1,6
wm_no_vlm,122,0.0,0,50
wm_no_vlm,123,0.0,0,50
wm_no_vlm,124,0.0,0,50
wm_no_vlm,125,0.0,0,50
wm_no_vlm,126,0.604,1,22
wm_no_vlm,127,0.532,1,26
wm_no_vlm,128,0.532,1,26
wm_no_vlm,129,0.892,1,6
wm_vlm,100,0.09999999999999998,1,50
wm_vlm,101,0.82,1,10
wm_vlm,102,0.694,1,17
wm_vlm,103,0.0,0,50
wm_vlm,104,0.55,1,25
wm_vlm,105,0.20799999999999996,1,44
wm_vlm,106,0.946,1,3
wm_vlm,107,0.982,1,1
wm_vlm,108,0.0,0,50
wm_vlm,109,0.9279999999999999,1,4
wm_vlm,110,0.31599999999999995,1,38
wm_vlm,111,0.0,0,50
wm_vlm,112,0.712,1,16
wm_vlm,113,0.604,1,22
wm_vlm,114,0.44199999999999995,1,31
wm_vlm,115,0.946,1,3
wm_vlm,116,0.0,0,50
wm_vlm,117,0.694,1,17
wm_vlm,118,0.766,1,13
wm_vlm,119,0.712,1,16
wm_vlm,120,0.09999999999999998,1,50
wm_vlm,121,0.766,1,13
wm_vlm,122,0.0,0,50
wm_vlm,123,0.604,1,22
wm_vlm,124,0.262,1,41
wm_vlm,125,0.0,0,50
wm_vlm,126,0.0,0,50
wm_vlm,127,0.0,0,50
wm_vlm,128,0.118,1,49
wm_vlm,129,0.892,1,6
